,name,description,price,city,address,car_dist,bike_dist,is_bikable,website
10,Wonderkid,"Like the restaurant’s designers, opening chef Justin Dixon—who has recently moved on to other pastures—was refreshingly unfaithful to the diner concept: His often brilliant interpretations cover not just the classics (English breakfast, meatloaf melt with pimento cheese and bacon jam) but also wonderful mushroom empanadas and chicken wings prepared “Buford Highway style,” with chili oil, peanuts, and lime. It might look something like this spot in the Atlanta Dairies complex, which eschews retro kitsch in favor of a riotous aesthetic mashup: This is a diner with groovy wallpaper, ’70s lighting, and pictures of Prince on the wall, plus a bartender behind a curved counter slinging potent cocktails. It sprang from a partnership between Big Citizen (the group behind Bon Ton and the Lawrence) and King of Pops, whose soft-serve is available here on its own or blended into boozy drinks.",2,Reynoldstown,777 Memorial Drive,00:22:00,01:05:00,False,wonderkidatl.com
11,Little Bear,"The engagingly written menu changes with the seasons, with temporary treasures (one night recently: Georgia shrimp with fig sweet-and-sour sauce and shishito peppers; eggplant with peaches, whey sauce, chili paste, and “herbs out the ass”) joining a few repeat faves, like chicken thighs with dan dan yogurt and Manischewitz vinegar and a striking black and white torte. But Stieber, pivoting to a takeout-only model, endured through the pandemic, finally welcoming diners this past May to sit down in Little Bear’s bright, modern dining room and enjoy his weird, iconoclastic, Jewish-ish/Sichuan-ish cooking. After making his name with the pop-up series Eat Me Speak Me, Stieber finally made the move to brick-and-mortar with Little Bear, which opened in Summerhill in February 2020.",2,Summerhill,71 Georgia Avenue,00:10:00,00:27:00,False,littlebearatl.com
12,Nur Kitchen,"He’s a magician with classics like hummus and baba ghanoush, and his eclectic background—Lavi was born in Israel, of Turkish and Libyan descent—informs the wide Eastern Mediterranean scope of this restaurant, whose pantry of inspirations stretches “from Turkey to Jaffa Port.” Driving out on Buford Highway toward Norcross, you’ll hear the siren songs of about a thousand incredible restaurants before you even make it to Nur Kitchen’s parking lot—but if it’s some of the metro’s best mezze you’re after, it’s best to put your hands over your ears, keep your eyes on the road, and arrive here hungry. A spectacular talent whose range continues to reveal itself, Lavi gained fans through his catering business Let’s Eat and in the kitchen of the delicious but short-lived downtown restaurant Rozina Bakehouse.",2,Buford Highway,7130 Buford Highway,00:21:00,01:27:00,False,nurkitchenusa.com
13,Tum Pok Pok,"Weerasin’s larb—pork or chicken, seasoned with lime juice and tiny chilis, ginger, peanuts, and scallions, and served with sticky rice and cabbage leaves—offers a world of bracing flavor. Buford Highway has long lacked much of a Thai scene—so when Tum Pok Pok opened up in the same blessed BuHi shopping plaza as Food Terminal and Saigon Tofu, it was a welcome addition to our city’s most international corridor. Weerasin herself is from the south of Thailand and has been rolling out nightly specials that reflect that region, like a crab omelet and kua kling: a perilously hot but tasty dish of ground pork with red curry paste and shaved makrut lime leaves.",1,Chamblee,5000 Buford Highway,00:20:00,01:12:00,False,tumpokpok.com
14,Lucian Books and Wine,"Or maybe it just felt like a sigh of relief: What sweeter pleasure than to share a plate and a bottle with an old friend—or a new fancy—in this chic but inviting dining room on a busy Buckhead corner? Dishes change seasonally, but expect fare like buttery raw hamachi and thinly sliced black radish, doused tableside with a vinegar-spiked buttermilk dressing, and ricotta gnudi with truffle and maitake mushroom and a luscious beurre monté. The cellar may be spacious, but the larder ain’t: Chef Brian Hendrickson’s tightly focused, finely executed menu features a handful of small plates, a few entrees, and a bowl of french fries worth ordering for the lemony sorrel mayo alone.",3,Buckhead,3005 Peachtree Road,00:16:00,00:32:00,False,lucianbooksandwine.com
15,Supremo Taco,"It eventually landed a spot on Memorial Drive, though the counter-service, takeout-only model means it retains some streetside vibes—and helped it weather the pandemic, when Supremo was more impervious than most to lockdowns and mandates, and when its legions of fans found great comfort enfolded in its astonishing handmade tortillas. Supremo sold out often during the pandemic and still does: particularly, crowd-pleasers like lamb barbacoa with chili de arbol, chicken mole poblano, black bean with squash and tomato, aguachile tostadas, fried quesadillas . . . Supremo built its rep as a taco truck doing late-night test runs at 8Arm, which is co-owned by Supremo partner Nhan Le.",1,Grant Park,701 Memorial Drive,00:11:00,00:25:00,False,supremotaco.com
16,Buena Gente Cuban Bakery,"They overlook no detail in the construction of the iconic Cuban sandwich: The bolo ham is delicious, the mustard is sharp, the mojo-roasted pork carries an enchanting hint of the citrus it was marinated in, and the melty Swiss cheese and pressed, crunchy bread elevate this creation to near-pizza levels of perfection. Cubanos and other sandwiches (medianoche, pan con bistec) aren’t the only items Buena Gente has aced: The glass dessert case is packed with perfectly rendered pastries from chicken empanadas to guava-filled pastelitos, arroz con leche to tres leches cake. The good people behind this cute-as-a-button operation, Manny Rodriguez and Stacie Antich, first opened their food truck in 2016, making the leap in 2020 to a narrow storefront in a busy Decatur strip mall.",1,Decatur,1365 Clairmont Road,00:21:00,00:45:00,False,buenagenteatl.com
17,Chef Winnie’s Kitchen,"When it comes to the tried and true, her renditions are exquisite: Emory’s combo kitfo (ground beef seasoned with the brightly colored chili blend mitmita and sauteed in purified butter) and fitfit (torn injera soaked in spicy sauce) is one of the best dishes we ate all year, and her many vegan or vegetarian entrees easily compete in the big leagues. And that’s just the half of it: Chef Winnie is equally adept with curries, fish tacos, Philly cheesesteaks, and bespoke creations like an Ethiopian-spiced quesadilla stuffed with chicken and veggies. Humble even by Clarkston standards, this minuscule spot from Woinshet Legesse Emory—aka Chef Winnie—is an international wonder with an Ethiopian heart.",1,Clarkston,4238 East Ponce de Leon Avenue,00:25:00,01:15:00,False,chefwinnieskitchen.com
18,Lake and Oak Neighborhood BBQ,"Fans flock here (SORRY) for the chicken, brined for a day to enhance its tenderness and slathered in a collard pesto; for the coffee- and pepper-rubbed brisket; for the rib slabs and the cider-vinegar pulled pork; and for creative sides like collard green fried rice. Opening in July 2020, Richards and partner Joshua Lee took the pandemic in stride, inviting diners to hit up the takeout window and keep their social distance on a convivial streetside patio. That happy al fresco scene (and the smells wafting from the Big Green Egg smoker out front) beckons passersby into an instant top-tier player in a city that doesn’t lack for barbecue joints.",1,East Lake,2358 Hosea L. Williams Drive,00:15:00,00:45:00,False,lakeandoakbbq.com
19,Floataway Cafe,"Star chef-restaurateur Anne Quatrano’s airy little Mediterranean oasis, which for more than two decades has resided in an industrial complex near Emory, is so chic it could’ve opened yesterday. Under executive chef Travis Hawthorne, some dishes conjure Greece: fire-kissed tentacles of octopus curled around chickpeas and briny Castelvetrano olives. Mention Floataway Cafe to any in-the-know Atlantan and you’ll be met with lustful moans.",2,North Druid Hills,1123 Zonolite Road,00:18:00,00:34:00,False,starprovisions.com/floataway-cafe
20,Canoe,"And a special of roasted monkfish with broccoli rabe and fingerlings in a caper vinaigrette is the type of thing we’d like to eat every day—for the next 30 years. If you haven’t been to the nearly 30-year-old restaurant in a while, you won’t have forgotten that view—but you might not recall how equally ravishing the food is. The earthiness from hearty hunks of Purple Haze carrots is heightened with crunchy hazelnuts and a smear of Moroccan-spiced coconut.",3,Vinings,4199 Paces Ferry Road,00:15:00,00:56:00,False,canoeatl.com
21,Sotto Sotto,"Classic pasta options—such as tortelli di Michelangelo Buonarroti, a 16th century recipe of veal, chicken, and pork ravioli in a butter-sage sauce—are the kind of thing you want to eat forever. In this age of ever-adapting seasonal menus, Sotto Sotto’s mostly unchanged lineup still holds our rapt attention. There’s a reason Riccardo Ullio’s Inman Park stalwart has been around for more than two decades: It’s our most consistent and satisfying Italian spot.",2,Inman Park,313 North Highland Avenue,00:11:00,00:20:00,False,sottosottoatl.com
22,Kyma,"You can make a feast out of chef Pano Karatassos’s nearly two-dozen shareable meze plates—in particular, wood-grilled octopus with olives and capers, white beans stewed with tomatoes, and lamb pie. The ocean-blue and gleaming-white temple known as Kyma, which means “wave” in Greek, is Buckhead Life Restaurant Group’s brightest star. If you want to splurge, choose one of the $40-per-pound whole fish that are so beautifully arranged in the restaurant’s display case they appear to be swimming through a sea of crushed ice.",3,Buckhead,3085 Piedmont Road,00:15:00,00:38:00,False,buckheadrestaurants.com/restaurant/kyma
23,La Grotta Ristorante Italiano,"La Grotta opened in 1978, and it’s a welcome throwback to another time—when white tablecloths still graced tables and truffles were shaved onto your plate tableside. In the basement of an unassuming south Buckhead apartment building sits one of Atlanta’s oldest restaurants. The regal servers deliver bygone glamour, along with a wide range of pasta and veal options.",3,Buckhead,2637 Peachtree Road,00:15:00,00:28:00,False,lagrottaatlanta.com
24,Tiny Lou's,"In the basement you’ve got the storied strip club the Clermont Lounge; on the roof you’ve got gorgeous skyline views; and in between is Tiny Lou’s, an intimate, dimly lit restaurant whose 2018 opening heralded the return of revolutionary French cooking to the Atlanta culinary scene. The kitchen staff responsible for Tiny Lou’s 1.0 have since moved on, replaced in spring 2021 by executive chef Jon Novak (formerly sous chef of the Napa Valley restaurant Torc) and pastry chef Charmain Ware. Novak’s menu offers bistro favorites—steak frites, French onion soup, swordfish au poivre—and specialties that change with the seasons; Ware’s pastries, like those of predecessor Claudia Martinez, are works of art.",3,Poncey-Highland,789 Ponce de Leon Avenue,00:09:00,00:15:00,True,tinylous.com
25,Octopus Bar,"The 2011 brainchild of Nhan Le and the late Angus Brown, Octopus Bar is still the coolest restaurant in Atlanta, and chef Alexander Young’s dishes are as punk as they are pretty: dry-fried eggplant, served skin-on, is seasoned with black garlic oil, and icicle radishes delicately intermingle with tendrils of radish pods atop a sheet of creamy chevre. Even before Octopus Bar opens at 10:30 p.m., the night owls will have swooped in to claim their perch. There is no better meal to be had in the middle of the night—and few that are better at any time of day.",2,East Atlanta Village,560 Gresham Avenue,00:12:00,00:35:00,False,octopusbaratl.com
26,Ticonderoga Club,"In this endearingly dark little room in the corner of Krog Street Market, Greg Best and Paul Calvert—two of the city’s most ingenious bartenders—mix and stir and shake and dazzle; their concise cocktail list is reason enough to endure the weekend wait. But even those drinks can’t upstage executive chef David Bies’s nostalgia-inducing menu—including the city’s best clam roll, best steak tartare, and best Cobb salad.",3,Inman Park,99 Krog Street,00:10:00,00:21:00,False,ticonderogaclub.com
27,Bon Ton,"Bon Ton is no doubt as cool as its predecessor, and the Viet-Cajun menu is clever without being too much so: You’ll find ground beef wrapped in betel leaves, seafood boils, oyster and cilantro dirty fried rice, and one of our favorite sandwiches: a Nashville hot oyster roll that’s extra punched up with XO sauce. Co-owner Eric Simpkins, a longtime denizen of Ponce, teamed up with Hieu Pham of Buford Highway’s Crawfish Shack and Darren Carr of the former Top Flr to create the perfect concept to fill Top Flr’s void. This relative newcomer to the Ponce corridor feels like its been part of the street’s eccentric culture forever, and that’s a high compliment.",2,Midtown,674 Myrtle Street,00:05:00,00:10:00,True,bontonatl.com
28,8Arm,"The menu can be a challenge to navigate, but 8Arm’s raw-fish offerings and nightly specials range from pristine (various cuts of bluefish tuna reveal the depths of flavor the fish has to offer) to sublime (raw sea bream with watermelon radish kimchi). The kitchen offers pitch-perfect renditions of Japanese street foods—dumplings, edamame, the battered octopus balls takoyaki—as well as rotating dishes like buttery, nut-brown miso cod and the savory custard chawanmushi. This hip Ponce restaurant has lived many lives, forced to reinvent itself in 2017 after the sudden death of original chef-partner Angus Brown, and then again in 2021 with the departure of the redoubtable Maricela Vega.",2,Virginia-Highland,710 Ponce de Leon Avenue,00:08:00,00:13:00,True,8armatl.com
29,Poor Hendrix,"Russell composes marvelous salads (think local lettuces, Manchego, peanuts, and pickled green beans) and elevates peanut butter mousse with olive oil, salt, and peanut meringue—but he isn’t above serving wings and Rice Krispies treats. Once you’re inside, you’ll find a long, narrow bar that feels like a clubhouse for young, stylish neighbors hip to chef Aaron Russell, whose career includes influential stints at fine-dining bastions Seeger’s (RIP) and Restaurant Eugene. Blink and you might miss this small storefront on a mostly residential stretch in East Lake.",2,East Lake,2371 Hosea L. Williams Drive,00:15:00,00:45:00,False,poorhendrix.com
30,Gunshow,"The dining room is short on luxury—stark spotlights, metal tables, loud rock music—but high on intrigue. You might find Hawaiian paté en croute with pineapple, jalapeño, and Parmesan aioli, or confit sunchoke with peanuts, garlic, coffee, and seaweed. Seven to eight chefs cook and then deliver plates directly to diners, who can choose to accept or reject them.",3,Omewood Park,924 Garrett Street,00:10:00,00:30:00,False,gunshowatl.com
31,Twisted Soul Cookhouse & Pours,"She also artfully builds on culinary traditions of black Southerners—think hoisin oxtails with shallot-ginger roasted bok choy and cornflake-crusted black grouper. She’s quick to share her unfiltered opinion on the state of soul food, black restaurateurship, and any other social issue you care to discuss. Everything about Chef Deborah VanTrece, whose personality is the clear inspiration behind her restaurant’s name, is original.",3,Westside,1133 Huff Road,00:11:00,00:18:00,True,twistedsoulcookhouseandpours.com
32,Argosy,"It pulls off this juggling act in a large, easygoing nerd paradise where custom-built wooden sea creatures hang from the ceiling and analog parlor games are played in the back. The menu at this East Atlanta Village gastropub offers everything from Shaolin Wings (with Tokyo mayo and purple daikon) to charred octopus (with fingerlings, fennel, and fried capers). The pizza might not be the most name-dropped in town, but the wood-fired crust and Spotted Trotter–sourced toppings make it one of Atlanta’s best.",2,East Atlanta Village,470 Flat Shoals Avenue,00:11:00,00:37:00,False,argosy-east.com
33,Le Fat,"Inside Guy Wong’s modern Vietnamese joint, the clamorous space is as chic as the rest of its Westside brethren, from the hand-painted chinoiserie wallpaper and curved wood bar to the herringbone floors and gallery wall of vintage prints. Feast on bao stuffed with soft-shell crab, bacon, and sambal mayo, chicken clay pot with crispy rice, and salty-crunchy lemongrass shrimp. And if you don’t order the pho with brisket, flank steak, and beef ball, at least go for the side of pho broth.",2,Westside,935 Marietta Street,00:06:00,00:09:00,True,lefatatl.com
34,The Optimist,"At Ford Fry’s stylishly nautical seafood restaurant, there are many ways to plot a course to an ideal meal, but here’s our favorite: a dozen impeccable oysters; one of four crudos (think salmon with chorizo, strawberry, and fava bean); a hulking tentacle of octopus; and the best lobster roll in the city. If you’re forced to wait for a table, idle away the time on the minigolf lawn outside.",3,Westside,914 Howell Mill Road,00:08:00,00:11:00,True,theoptimistrestaurant.com
35,Banshee,"You’ll be further captivated by the moody vibe of the small dining room, swathed in peacock-blue wallpaper and subway tile and velvet drapes, and by cocktails such as the Stately Hag: a tart and herbaceous mix of reposado tequila, Cocchi Americano, Strega, lemon, and thyme. Who before Wynn has served warm Native American fry bread with pepperoni butter and scallions as a form of exalted bread service? The neighborhood’s most sophisticated restaurant is a tiny, highly original operation that transcends genre and remains in tune with its offbeat surroundings.",2,East Atlanta Village,1271 Glenwood Avenue,00:11:00,00:35:00,False,banshee-atl.com
36,Busy Bee,"Atlanta would be a lesser town without Busy Bee, which provided sustenance to Civil Rights leaders, including Martin Luther King Jr. Since 1947, the woman-owned institution has reliably served heaping helpings of soul food: smothered pork chops, oxtails, fried chicken, collards, and cornbread dressing. Old-school politicos and R&B stars alike continue to file into the tight quarters on the outskirts of Atlanta’s HBCU complex, seeking lunch or early dinner (it closes at 7 p.m.). There’s no better serving of history.",1,AUC,810 Martin Luther King Drive,00:09:00,00:19:00,True,thebusybeecafe.com
37,Tassili’s Raw Reality,"There are 40 ounces of kale packed into the Mandingo wrap at Tassili’s Raw Reality, which has occupied the colorful ground floor of a two-story duplex in West End since 2011. Lest you scoff at its $25 price tag, take note that this wrap could easily feed you for three days—and that it’s so magical you’ll actually want to spend three days eating it. Just patiently wait your turn in the slow-moving line to the counter, and fixate on the beatific diners scarfing down various wraps ($9 to $14 for the normal-sized ones).",1,West End,1059 Ralph D. Abernathy Boulevard,00:13:00,00:26:00,False,tassilisrawreality.com
38,Empire State South,"It’s been over a decade since celebrity chef Hugh Acheson opened Empire State South and challenged Atlanta’s notion that Southern food is something preciously preserved in the past. A lot has changed since then, but Empire State South remains a destination restaurant in a part of Midtown that has too few of them. The terrace overlooking a bocce court ringed by Adirondacks is a splendid gathering spot for an impromptu al fresco meal or a planned event.",3,Midtown,999 Peachtree Street,00:08:00,00:10:00,True,empirestatesouth.com
39,The General Muir,"In seven years, the General Muir has become indispensable for its upscale Jewish deli–inspired menu: If you have a hankering for piled-high pastrami on rye or chopped liver with pletzel bread, there is no better place. Now, you can find a sublime bowl in a glamorous space that evokes vintage Manhattan. There was once a time when you couldn’t get a good matzo ball soup in town.",2,Emory,1540 Avenue Place,00:20:00,00:42:00,False,thegeneralmuir.com
40,Chicken + Beer,"Ludacris and his partner, restaurant group Jackmont Hospitality, don’t peddle “airport wings” (the flavorless variety created solely to sustain a captive, security-cleared audience); these whole wings rival those you’ll find at any restaurant in Atlanta, the world’s wing capital. There is no better restaurant co-owned by a rapper and named for a seminal album—especially if, like the intro track from Ludacris’s Chicken-n-Beer, you prefer your comfort food “Southern Fried.” If or when Luda and company decide to expand the franchise beyond Hartsfield-Jackson, and members of the general public have an easier time getting hold of the short-rib mac and cheese, it will be even clearer that this food holds its own against restaurants far beyond Concourse D.",2,Hartsfield-Jackson,"Concourse D, Gate 5",00:15:00,01:14:00,False,chickenandbeer.com
41,La Tavola,"Whether you’re in the mood for straightforward spaghetti and veal meatballs, deeply murky and oceanic zuppa di pesce, or just the housemade buttermilk ricotta and a glass of Sicilian red at the bar, you’ll be right at home. For nearly two decades, La Tavola has quietly enchanted Virginia-Highlanders—who are perfectly happy keeping this underappreciated beauty all to themselves. If only every neighborhood could be home to a high-quality Italian spot that harbors such a creative streak.",2,Virginia-Highland,992 Virginia Avenue,00:15:00,01:00:00,False,latavolatrattoria.com
42,Bread & Butterfly,"Pop in for a croissant and a cafe au lait before work, treat yourself to a fine lunch of shrimp remoulade or trout salad, or linger over a dinner of garlic sausage over lentils or truffled penne au gratin with Gruyère and Parmesan. If you miss Billy Allin’s now-shuttered Cakes & Ale (and who doesn’t?), know that you can now find the master of simplicity himself behind the stove at his ever-so-French, all-day cafe. The tiny bar and the various dining areas smack of Paris at its most romantic.",2,Inman Park,290 Elizabeth Street,00:11:00,00:19:00,True,bread-and-butterfly.com
43,No. 246,"In 2021 the restaurant underwent a slight revisioning—from modern Cali-Italian to old-school red-sauce joint—but executive chef Drew Belline is still here, as are some old favorites: the textbook cacio e pepe, the gut-warming Bolognese. They share a comforting menu with a handful of pizzas (margherita, clam pie) and secondi including chicken scallopini, shrimp scampi, and flounder piccata. In its first 10 years, this Ford Fry Italian spot has been an incubator for talent:",2,Decatur,129 East Ponce de Leon Avenue,00:22:00,00:48:00,False,no246.com
44,The White Bull,"Though you might encounter a few recurring characters—housemade sfincione bread, the super-botanical A Pisco My Heart concoction—most of what’s available has changed from the day before, with recipes that could be rooted in Germany, France, Italy, Japan, or here in the homeland. Nevertheless, what you eat is likely sourced from a local or regional farm, which gives Pascarella the opportunity to draft new and imaginative culinary tales—or should we say A Moveable Feast? It takes balls—and a stiff drink—to attempt to tell stories with food the way Hemingway did with a typewriter.",2,Decatur,123 East Court Square,00:22:00,00:48:00,False,whitebullatl.com
45,El Tesoro,"“El Tesoro” means “the treasure,” and the restaurant’s owners have found one in Cristina Lugo Soto, a home cook who hails from the Mexican coastal state of Guerrero and runs the kitchen with her daughter, Mayra. The tacos come as tacos are supposed to, with supremely flavorful meat that requires no embellishment aside from micro-diced onion, a light shower of chopped cilantro, a squeeze of lime, and, if you must, a streak of one of three homemade salsas. Soto offers three tamale flavors—pork with green salsa, chicken with chipotle salsa, and rajas with mushroom and squash—and if there’s a more craveable masa in existence, we’ve yet to find it.",1,Edgewood,1374 Arkwright Place,00:11:00,00:31:00,False,eltesoroatl.com
46,Snackboxe Bistro,"Inspired by the bright flavors they encountered on a trip to their native Laos, husband and wife Vanh Sengaphone and Thip Athakhanh craft street food–inspired dishes vibrant with heat and acid, including a peerless laap (a spicy and tart meat salad more commonly known by its Thai name, larb) and a sinus-clearing bowl of khao poon (its curry broth, rich with coconut milk, clings to long rice noodles). But with the early 2018 opening of insta-hit Snackboxe in Doraville, there’s now an excellent representation of the underappreciated cuisine right in our backyard. Laotian food has long been overshadowed in Atlanta by the cuisine of neighboring Thailand.",1,Doraville,6035 Peachtree Road,00:21:00,01:16:00,False,snackboxebistro.com
47,Heirloom Market BBQ,"Heirloom is a love story—between its co-owners, wife and husband Jiyeon Lee and Cody Taylor, and between the homestyle Korean cooking of her childhood and the homestyle Texan cooking of his. As with all great love stories, the passion between miso paste and collard greens or kimchi and coleslaw was almost accidental at first, but these pairings were clearly meant to be. Our only gripe is that the mostly takeout operation offers just a few standing tables; this food is too good to rush through while on your feet and too tempting to drive all the way home with.",1,Cumberland,2243 Akers Mill Road,00:16:00,01:19:00,False,heirloommarketbbq.com
48,Chai Pani,"Gone are the beloved okra fries—but in their place are fantastically flavored dishes like tomato cheese uttapam (a fermented rice and lentil pancake, served with two kinds of chutney), Indo-Chinese–style chili chicken, and a Bengali-style fried catfish filet. Meherwan Irani’s Decatur destination—part of a mini empire stretching between Atlanta and Asheville—has pivoted several times in recent years, switching to takeout-only during the pandemic and then reopening, in summer 2021, with a refreshed menu that emphasizes Indian home-cooking favorites and regional specialties. The colorful dining room remains a cheerful hang, and the cocktails are still tops.",1,Decatur,406 West Ponce de Leon Avenue,00:20:00,00:46:00,False,chaipanidecatur.com
49,Community Q BBQ,"Opened in 2009 with several partners in a tight little shopping center near Emory, Community Q offers moist and tender pulled pork that isn’t obnoxiously smoky, reliably robust St. Louis ribs, and ridiculously rich and creamy three-cheese mac and cheese. You may want to mix the vinegar-based sauce into the tomato and molasses one—but, as is true of the best barbecue joints, these meats are tasty enough to eschew the sauces entirely. Back then, hoity-toity chefs hadn’t begun to launch the kind of barbecue operations that source their meats extra carefully and support organic farms.",1,North Decatur,1361 Clairmont Road,00:21:00,00:45:00,False,communityqbbq.com
50,Taqueria del Sol,"Two decades and six locations later, customers still line up for Hernandez’s Southern-Mexican mashup cuisine: fried-chicken tacos with lime-jalapeño mayonnaise, refried-bean enchiladas with a side of turnip greens, and shrimp corn chowder. Eddie Hernandez and Mike Klank opened the first Taqueria del Sol on the Westside in 2000, cranking out crowd-pleasing $2 tacos. Pick up his cookbook, Turnip Greens & Tortillas, which was one of our favorites of 2018.",1,Cheshire Bridge,2165 Cheshire Bridge Road,00:13:00,00:37:00,False,taqueriadelsol.com
51,Rising Son,"They came to the adorable Avondale Estates storefront for fried trout with cheese grits and for vegetables—collards, kale, sweet potatoes—that Hudson grows himself. When Hudson Rouse, formerly of Home Grown, and his wife, Kathryn Fitzgerald Rouse, opened this creative meat-and-three for breakfast and lunch in 2016, the crowds flocked. As the woman sitting next to us on a recent visit told her server: “I’m upset—I’ve lived here for 18 months and only just discovered this place!”",1,Avondale Estates,124 North Avondale Road,00:26:00,00:54:00,False,risingsonavondale.com
